2022-04-14 07:59:00 startup archives unpack
2022-04-14 07:59:00 install libgpm2:amd64 <none> 1.20.4-6.1
2022-04-14 07:59:00 status half-installed libgpm2:amd64 1.20.4-6.1
2022-04-14 07:59:00 status unpacked libgpm2:amd64 1.20.4-6.1
2022-04-14 07:59:00 status unpacked libgpm2:amd64 1.20.4-6.1
2022-04-14 07:59:00 upgrade python2.7:amd64 2.7.6-8 2.7.6-8ubuntu0.5
2022-04-14 07:59:00 status half-configured python2.7:amd64 2.7.6-8
2022-04-14 07:59:00 status unpacked python2.7:amd64 2.7.6-8
2022-04-14 07:59:00 status half-installed python2.7:amd64 2.7.6-8
2022-04-14 07:59:00 status triggers-pending mime-support:all 3.54ubuntu1
2022-04-14 07:59:00 status half-installed python2.7:amd64 2.7.6-8
2022-04-14 07:59:00 status unpacked python2.7:amd64 2.7.6-8ubuntu0.5
2022-04-14 07:59:00 status unpacked python2.7:amd64 2.7.6-8ubuntu0.5
2022-04-14 07:59:00 upgrade python2.7-minimal:amd64 2.7.6-8 2.7.6-8ubuntu0.5
2022-04-14 07:59:00 status half-configured python2.7-minimal:amd64 2.7.6-8
2022-04-14 07:59:00 status unpacked python2.7-minimal:amd64 2.7.6-8
2022-04-14 07:59:00 status half-installed python2.7-minimal:amd64 2.7.6-8
2022-04-14 07:59:00 status half-installed python2.7-minimal:amd64 2.7.6-8
2022-04-14 07:59:00 status unpacked python2.7-minimal:amd64 2.7.6-8ubuntu0.5
2022-04-14 07:59:00 status unpacked python2.7-minimal:amd64 2.7.6-8ubuntu0.5
2022-04-14 07:59:00 upgrade libpython2.7-stdlib:amd64 2.7.6-8 2.7.6-8ubuntu0.5
2022-04-14 07:59:00 status half-configured libpython2.7-stdlib:amd64 2.7.6-8
2022-04-14 07:59:00 status unpacked libpython2.7-stdlib:amd64 2.7.6-8
2022-04-14 07:59:00 status half-installed libpython2.7-stdlib:amd64 2.7.6-8
2022-04-14 07:59:02 status half-installed libpython2.7-stdlib:amd64 2.7.6-8
2022-04-14 07:59:02 status unpacked libpython2.7-stdlib:amd64 2.7.6-8ubuntu0.5
2022-04-14 07:59:02 status unpacked libpython2.7-stdlib:amd64 2.7.6-8ubuntu0.5
2022-04-14 07:59:02 upgrade libpython2.7-minimal:amd64 2.7.6-8 2.7.6-8ubuntu0.5
2022-04-14 07:59:02 status half-configured libpython2.7-minimal:amd64 2.7.6-8
2022-04-14 07:59:02 status unpacked libpython2.7-minimal:amd64 2.7.6-8
2022-04-14 07:59:02 status half-installed libpython2.7-minimal:amd64 2.7.6-8
2022-04-14 07:59:02 status half-installed libpython2.7-minimal:amd64 2.7.6-8
2022-04-14 07:59:02 status unpacked libpython2.7-minimal:amd64 2.7.6-8ubuntu0.5
2022-04-14 07:59:02 status unpacked libpython2.7-minimal:amd64 2.7.6-8ubuntu0.5
2022-04-14 07:59:02 install libpython2.7:amd64 <none> 2.7.6-8ubuntu0.5
2022-04-14 07:59:02 status half-installed libpython2.7:amd64 2.7.6-8ubuntu0.5
2022-04-14 07:59:02 status unpacked libpython2.7:amd64 2.7.6-8ubuntu0.5
2022-04-14 07:59:02 status unpacked libpython2.7:amd64 2.7.6-8ubuntu0.5
2022-04-14 07:59:02 upgrade vim-tiny:amd64 2:7.4.052-1ubuntu3 2:7.4.052-1ubuntu3.1
2022-04-14 07:59:02 status half-configured vim-tiny:amd64 2:7.4.052-1ubuntu3
2022-04-14 07:59:02 status unpacked vim-tiny:amd64 2:7.4.052-1ubuntu3
2022-04-14 07:59:02 status half-installed vim-tiny:amd64 2:7.4.052-1ubuntu3
2022-04-14 07:59:02 status half-installed vim-tiny:amd64 2:7.4.052-1ubuntu3
2022-04-14 07:59:02 status unpacked vim-tiny:amd64 2:7.4.052-1ubuntu3.1
2022-04-14 07:59:02 status unpacked vim-tiny:amd64 2:7.4.052-1ubuntu3.1
2022-04-14 07:59:02 upgrade vim-common:amd64 2:7.4.052-1ubuntu3 2:7.4.052-1ubuntu3.1
2022-04-14 07:59:02 status half-configured vim-common:amd64 2:7.4.052-1ubuntu3
2022-04-14 07:59:02 status unpacked vim-common:amd64 2:7.4.052-1ubuntu3
2022-04-14 07:59:02 status half-installed vim-common:amd64 2:7.4.052-1ubuntu3
2022-04-14 07:59:02 status triggers-pending mime-support:all 3.54ubuntu1
2022-04-14 07:59:02 status half-installed vim-common:amd64 2:7.4.052-1ubuntu3
2022-04-14 07:59:02 status unpacked vim-common:amd64 2:7.4.052-1ubuntu3.1
2022-04-14 07:59:02 status unpacked vim-common:amd64 2:7.4.052-1ubuntu3.1
